Street,Latitude,Longitude
11th Street,37.7724134,-122.41471580000001
17th Street,37.787458,-122.40207959999998
23rd Street,37.7542073,-122.41263059999999
25th Street,37.7509423,-122.4133835
26th Street,37.7493609,-122.41297309999999
6th Street,37.7755771,-122.4019497
7th Street,37.7730614,-122.4032337
Alice B. Toklas Place,37.7852547,-122.42112809999999
Angelo's Alley,37.787458,-122.40207959999998
Annie Street,37.787458,-122.40207959999998
Antonio Street,37.7821992,-122.41321370000001
Austin Street,37.788746100000004,-122.4237179
Bartlett Street,37.752512,-122.41960559999998
Battery Street,37.7974664,-122.4008365
Bonita Street,37.787458,-122.40207959999998
Broadway,37.795939399999995,-122.4218895
Bryant Street,37.787458,-122.40207959999998
Bush Street,37.78839979999999,-122.42269170000002
California Street,37.7875445,-122.4449271
Capp Street,37.7571095,-122.4178321
Cedar Street,37.786375299999996,-122.41985120000001
Chatham Place,37.787458,-122.40207959999998
Clay Street,37.7913539,-122.42929509999999
Colin Place,37.78742020000001,-122.4131149
Columbus Avenue,37.8011696,-122.41151070000001
Commercial Street,37.787458,-122.40207959999998
Daniel Burnham Court,37.7867744,-122.42249059999999
Dr Carlton P Goodlett Place,37.77938580000001,-122.4184416
Dr Tom Waddell Place,37.7778871,-122.4189392
Eddy Street,37.787458,-122.40207959999998
Ellis Street,37.783497,-122.42364920000001
Elm Street,37.781209999999994,-122.40813490000002
Fell Street,37.7743006,-122.4359699
Fern Street,37.7880201,-122.42195359999998
Fulton Street,37.7738326,-122.46254479999999
Geary Boulevard,37.781461,-122.45611090000001
Geary Street,37.781461,-122.45611090000001
Golden Gate Avenue,37.7792586,-122.4344434
Green Street,37.797739899999996,-122.4229493
Grove Street,37.776571600000004,-122.433057
Halleck Street,37.8030103,-122.4544055
Hardie Place,37.787458,-122.40207959999998
Hayes Street,37.7753224,-122.4353348
Hemlock Street,37.7871072,-122.42161100000001
Hotaling Street,37.796051399999996,-122.40284790000001
Hyde Street,37.787458,-122.40207959999998
Jackson Street,37.7933175,-122.42800679999999
Jessie Street,37.78074229999999,-122.41011809999999
Jones Street,37.794571399999995,-122.41476399999999
Julia Street,37.777837,-122.4121538
Kearny Street,37.79755919999999,-122.40543810000001
Larkin Street,37.7919467,-122.41929250000001
Leavenworth Street,37.7943595,-122.41640590000002
Maiden Lane,37.787458,-122.40207959999998
Mariposa Street,37.7636256,-122.4005317
Mason Street,37.787458,-122.40207959999998
McAllister Street,37.7782213,-122.4350777
Meacham Place,37.7870417,-122.41698459999999
Merchant Street,37.7950714,-122.40325259999999
Mission Street,37.787458,-122.40207959999998
Montgomery Street,37.787458,-122.40207959999998
Myrtle Street,37.7854391,-122.41966799999999
New Montgomery Street,37.7874561,-122.40052340000001
Nottingham Place,37.797593799999994,-122.40515990000002
O'Farrell Street,37.7845559,-122.4228608
Olive Street,37.784406700000005,-122.4202625
Pacific Avenue,37.7945098,-122.42571370000002
Parking Entrance Lane,37.782796399999995,-122.4059254
Pine Street,37.7894225,-122.42208319999999
Polk Street,37.791436100000006,-122.4208795
Post Street,37.7863214,-122.4241385
Powell Street,37.796504,-122.4100932
Redwood Street,37.7803021,-122.42253170000001
Sansome Street,37.7979131,-122.40214250000001
South Van Ness Avenue,37.7917022,-122.4226899
Stockton Street,37.796710299999994,-122.40845290000001
Stockton Tunnel,37.791562400000004,-122.40741990000001
Sutter Street,37.787355600000005,-122.4234272
Taylor Street,37.795651299999996,-122.4132947
Turk Street,37.781349799999994,-122.42553090000001
Union Street,37.798571,-122.42392690000001
Valencia Street,37.7590188,-122.4213455
Vallejo Street,37.787458,-122.40207959999998
Van Ness Avenue,37.7917022,-122.4226899
Verdi Place,37.7922235,-122.39839740000002
Washington Street,37.7939891,-122.41569650000001
Willow Street,37.78315500000001,-122.4225854
